domain,city,prospect,url,kind,how to get the link,cost,contact
fortworthgaragedoorrepairpros.com,"Fort Worth, TX",Fort Worth Report - submit a 'Where I Live' essay,https://fortworthreport.org/submit-a-where-i-live-essay/,Local news site / neighborhood blog,Fill in the essay form with your neighborhood story and a photo,Free (no fee stated),https://fortworthreport.org/submit-a-where-i-live-essay/
fortworthgaragedoorrepairpros.com,"Fort Worth, TX",Fort Worth Report - reader news tip form,https://fortworthreport.org/14903-2/,Local news site / neighborhood blog,Send a seasonal local story tip through the tip form,Free (no fee stated),https://fortworthreport.org/contact-us/
fortworthgaragedoorrepairpros.com,"Fort Worth, TX",Crestwood Association (Fort Worth neighborhood),https://www.crestwoodfw.org/,"Neighborhood, HOA or community group site",Contact the volunteer board about sponsoring or writing a maintenance tip for residents,Free (no fee stated),https://www.crestwoodfw.org/
fortworthgaragedoorrepairpros.com,"Fort Worth, TX",Monticello Neighborhood Association,https://www.mnafw.org/,"Neighborhood, HOA or community group site",Email the association board and offer a homeowner-maintenance piece or sponsorship,Free (no fee stated),https://www.mnafw.org/
fortworthgaragedoorrepairpros.com,"Fort Worth, TX",Fort Worth Chamber - join the club,https://www.fortworthchamber.com/join-the-club/,Chamber of commerce directory / join page,Complete the membership inquiry form to join and be listed,Page lists $45-$265 payment options; full dues quoted on request,info@fortworthchamber.com
fortworthgaragedoorrepairpros.com,"Fort Worth, TX",Fort Worth Hispanic Chamber - join us,https://fwhcc.org/join-us/,Chamber of commerce directory / join page,Pick a membership tier and join online,"$300, $500, $750, $1,500 and up per year; $25 one-time fee on individual tiers",https://fwhcc.org/join-us/
fortworthgaragedoorrepairpros.com,"Fort Worth, TX",City of Fort Worth - community organization registration,https://www.fortworthtexas.gov/departments/communications/engagement/community-support,City or county government or library resource page,"Use the city list to find registered neighborhood groups, then approach them directly",Free,https://www.fortworthtexas.gov/departments/communications/engagement/community-support
fortworthgaragedoorrepairpros.com,"Fort Worth, TX",City of Fort Worth - My Services for residents,https://www.fortworthtexas.gov/residents/my-services,City or county government or library resource page,Ask the city's customer care team to add a homeowner-help resource link,Free,https://www.fortworthtexas.gov/departments/communications/customercare
fortworthgaragedoorrepairpros.com,"Fort Worth, TX",DFW Community Associations Institute - professional service providers,https://dfwcai.org/Professional_Service_Providers,"Bar association, legal aid or local trade association",Fill in the information-request form to become a listed service provider for HOAs,Not published,https://dfwcai.org/Professional_Service_Providers
fortworthgaragedoorrepairpros.com,"Fort Worth, TX",Texas Association of Builders - local associations (Greater Fort Worth Builders),https://www.texasbuilders.org/local-associations/,"Bar association, legal aid or local trade association",Use the 'Email Association' link for Greater Fort Worth and apply as a member supplier,Not published,https://www.texasbuilders.org/local-associations/
virginiabeachcaraccidentlawyerpros.com,"Virginia Beach, VA",VABeach.com - submit an article,https://www.vabeach.com/submit-an-article-to-vabeach-com/,Local news site / neighborhood blog,Send a Virginia Beach article through the article submission form,Free (no fee stated),https://www.vabeach.com/submit-an-article-to-vabeach-com/
virginiabeachcaraccidentlawyerpros.com,"Virginia Beach, VA",Virginia Beach Visitors Guide - calling all local writers,https://virginiabeach.guide/calling-all-writers-in-the-virginia-beach-area/,Local news site / neighborhood blog,Pitch a local article with your own Virginia Beach photos and get a byline,Free (no fee stated),https://virginiabeach.guide/calling-all-writers-in-the-virginia-beach-area/
virginiabeachcaraccidentlawyerpros.com,"Virginia Beach, VA",Virginia Beach Council of Civic Organizations,https://www.vbcco.org/,"Neighborhood, HOA or community group site",Join as an individual member or send neighborhood-safety news to the newsletter,$50 civic organization dues; $25 individual dues,news@vbcco.org
virginiabeachcaraccidentlawyerpros.com,"Virginia Beach, VA",Chimney Hill Community Association,https://www.chimney-hill.net/,"Neighborhood, HOA or community group site",Email the association office about a resident newsletter item or sponsorship,Free (no fee stated),admin@chimney-hill.net
virginiabeachcaraccidentlawyerpros.com,"Virginia Beach, VA",Hampton Roads Chamber - become a member,https://hrchamber.com/membership/become-a-member/,Chamber of commerce directory / join page,Start the membership process online or talk to the membership team,Not published,https://hrchamber.com/membership/become-a-member/
virginiabeachcaraccidentlawyerpros.com,"Virginia Beach, VA",Beach Area Chamber of Commerce - membership fees,https://beachndchamber.com/fees,Chamber of commerce directory / join page,Join at one of the published membership levels to be listed by the chamber,"$150 premium, $100 standard, $50 individual per year",https://beachndchamber.com/fees
virginiabeachcaraccidentlawyerpros.com,"Virginia Beach, VA",City of Virginia Beach - neighborhood associations,https://virginiabeach.gov/services/homes-neighborhoods/neighborhood-associations,City or county government or library resource page,Email the city's neighborhood staff to reach association leaders and offer a resident resource,Free,DParrish@vbgov.com / NBloom@vbgov.com
virginiabeachcaraccidentlawyerpros.com,"Virginia Beach, VA",Wahab Public Law Library - legal resources (Virginia Beach Public Library),https://libraries.virginiabeach.gov/research-learn/wahab-public-law-library/legal-resources,City or county government or library resource page,Email law library staff and suggest a free legal-help resource for the list,Free,LLStaff@vbgov.com
virginiabeachcaraccidentlawyerpros.com,"Virginia Beach, VA",Virginia Beach Bar Association - membership,https://vbbarassoc.com/membership/,"Bar association, legal aid or local trade association",Join as a local attorney member,$275 a year for Regular and Associate members,vbba@vbbarassoc.com
virginiabeachcaraccidentlawyerpros.com,"Virginia Beach, VA",Legal Aid Society of Eastern Virginia - apply for services,https://laseva.org/what-we-do/apply-for-services/,"Bar association, legal aid or local trade association",Email their referral staff to be a pro bono or referral attorney they point people to,Free (no fee stated),melissab@laseva.org
sandiegodogbitelawyerpros.com,"San Diego, CA",San Diego Reader - neighborhood news submission guidelines,https://www.sandiegoreader.com/story-submissions/,Local news site / neighborhood blog,Register and file a 50-500 word neighborhood news story,"They pay you: up to $140 per story, $25 per photo",https://www.sandiegoreader.com/story-submissions/
sandiegodogbitelawyerpros.com,"San Diego, CA",San Diego Union-Tribune - submit an op-ed,https://www.sandiegouniontribune.com/submit-op-ed/,Local news site / neighborhood blog,Email a 700-word exclusive commentary to the opinion editor,Free (no fee stated),letters@sduniontribune.com
sandiegodogbitelawyerpros.com,"San Diego, CA",University Heights Community Association - blog,https://www.uhsd.org/blog,"Neighborhood, HOA or community group site",Join as a local business member and pitch a neighborhood blog post,Not published,https://www.uhsd.org/blog
sandiegodogbitelawyerpros.com,"San Diego, CA",University Heights Community Association - community links,https://www.uhsd.org/links,"Neighborhood, HOA or community group site",Ask the association to add your local resource to their community links page,Not published,https://www.uhsd.org/links
sandiegodogbitelawyerpros.com,"San Diego, CA",San Diego Regional Chamber - join,https://sdchamber.org/membership/join/,Chamber of commerce directory / join page,Complete the membership form (Sole Proprietor tier upward) for a directory listing,Not published on the page,BecomeAMember@sdchamber.org
sandiegodogbitelawyerpros.com,"San Diego, CA",San Diego Coastal Chamber - plans and pricing,https://www.sandiegocoastalchamber.com/plans-pricing,Chamber of commerce directory / join page,Join General Membership for a website directory listing,$389 a year; $995 Chairman's Circle; or $129.66/month plus $20 setup,https://www.sandiegocoastalchamber.com/plans-pricing
sandiegodogbitelawyerpros.com,"San Diego, CA",City of San Diego - resident resources,https://www.sandiego.gov/resident-resources,City or county government or library resource page,Contact the city web team and suggest a free resident resource worth linking,Free,https://www.sandiego.gov/resident-resources
sandiegodogbitelawyerpros.com,"San Diego, CA",San Diego County Library - law and courts resources,https://www.sdcl.org/resources/law-courts/,City or county government or library resource page,Ask library reference staff to add a free local legal-help resource,Free,https://www.sdcl.org/resources/law-courts/
sandiegodogbitelawyerpros.com,"San Diego, CA",San Diego County Bar Association - join the lawyer referral service,https://www.sdcba.org/?pg=HowToJoin,"Bar association, legal aid or local trade association",Apply to a referral panel with proof of insurance and the application fee,"$200 for SDCBA members, $350 for non-members, plus $50 per panel",mchavez@sdcba.org
sandiegodogbitelawyerpros.com,"San Diego, CA",San Diego Law Library - legal aid organizations,https://sandiegolawlibrary.org/legal-aid-organizations/,"Bar association, legal aid or local trade association",Contact the law library about being included as a free legal-help resource,Free,info@sdvlp.org
tampacriminaldefenselawyerpros.com,"Tampa, FL",Bay News 9 (Tampa) - story submission,https://baynews9.com/fl/tampa/about/story-submission,Local news site / neighborhood blog,Send a Tampa story idea through the station's submission form,Free (no fee stated),https://baynews9.com/fl/tampa/about/story-submission
tampacriminaldefenselawyerpros.com,"Tampa, FL",Neighborhood News Online - Tampa,https://neighborhoodnewsonline.net/news-tampa/,Local news site / neighborhood blog,Email the editor a short local piece for their Tampa news section,Free (no fee stated),https://neighborhoodnewsonline.net/
tampacriminaldefenselawyerpros.com,"Tampa, FL",Tampa Heights Civic Association,https://www.tampaheights.org/,"Neighborhood, HOA or community group site",Email the association to have an event or resident resource posted,Free (no fee stated),tampaheightscivicassociation@gmail.com
tampacriminaldefenselawyerpros.com,"Tampa, FL",V.M. Ybor Neighborhood Association - resources,https://vmybor.org/resources,"Neighborhood, HOA or community group site",Email the association and ask to be added to their resources page,Free (no fee stated),info@vmybor.org
tampacriminaldefenselawyerpros.com,"Tampa, FL",Tampa Bay Chamber - join the chamber,https://www.tampabaychamber.com/forms/join-the-chamber/,Chamber of commerce directory / join page,Complete the join form and tick 'Add Selected Web Listing' for a directory entry,Not published on the page,https://www.tampabaychamber.com/forms/join-the-chamber/
tampacriminaldefenselawyerpros.com,"Tampa, FL",Upper Tampa Bay Chamber - member application,https://business.utbchamber.com/member-application,Chamber of commerce directory / join page,Apply online; there is also a website-listing-only option,"$295/yr (1-5 staff) up to $950/yr (100+); trustee tiers $3,000-$15,000",https://business.utbchamber.com/member-application
tampacriminaldefenselawyerpros.com,"Tampa, FL","Help Me, Hillsborough (county resident resources)",https://hcfl.gov/residents/human-services/help-me-hillsborough,City or county government or library resource page,Call the county resource line and ask to be listed as a local help resource,Free,https://hcfl.gov/residents/human-services/help-me-hillsborough (813-272-5220)
tampacriminaldefenselawyerpros.com,"Tampa, FL",Hillsborough County Public Library - legal research guides,https://hcplc.org/research/legal,City or county government or library resource page,Ask library staff to add a free legal-help guide or clinic link,Free,https://hcplc.org/research/legal
tampacriminaldefenselawyerpros.com,"Tampa, FL",Hillsborough County Bar Association Lawyer Referral Service - for lawyers,https://hillsbarlrs.com/pages/for-lawyers,"Bar association, legal aid or local trade association",Download the application and join the referral panel,"$175 a year for HCBA members, $350 a year for non-members",https://hillsbarlrs.com/pages/for-lawyers (813-221-7780)
tampacriminaldefenselawyerpros.com,"Tampa, FL",Hillsborough County Association of Criminal Defense Lawyers,https://www.hcacdl.org/,"Bar association, legal aid or local trade association",Apply for membership as a Florida Bar member who defends criminal cases,Not published,https://www.hcacdl.org/
sanjoseemergencyplumberpros.com,"San Jose, CA",San Jose Spotlight - news tips,https://sanjosespotlight.com/news-tips/,Local news site / neighborhood blog,Send a local story tip or seasonal angle to the newsroom,Free (no fee stated),https://sanjosespotlight.com/contact-us/
sanjoseemergencyplumberpros.com,"San Jose, CA","Times Media (Almaden, Evergreen, Willow Glen Times) - editorial",http://timesmediainc.com/editorial.htm,Local news site / neighborhood blog,Email the executive editor a local article or press release,Free (no fee stated),times@timesmediainc.com
sanjoseemergencyplumberpros.com,"San Jose, CA",Communications Hill Community Association - resident resources,https://www.commhill.org/resources/,"Neighborhood, HOA or community group site",Email the association to have a missing resident resource link added,Free (no fee stated),https://www.commhill.org/resources/
sanjoseemergencyplumberpros.com,"San Jose, CA",Buena Vista Neighborhood Association San Jose - news blog,https://www.bvnasj.org/blog,"Neighborhood, HOA or community group site",Contact the association and offer a short home-maintenance piece for residents,Free (no fee stated),https://www.bvnasj.org/
sanjoseemergencyplumberpros.com,"San Jose, CA",San Jose Chamber of Commerce - become a member,https://web.sjchamber.com/application,Chamber of commerce directory / join page,Apply online at the small business tier for a member listing,Not published on the page,KatieS@SJChamber.com
sanjoseemergencyplumberpros.com,"San Jose, CA",Silicon Valley Central Chamber - membership types,https://www.svcentralchamber.com/membershiptypes/,Chamber of commerce directory / join page,Pick a membership type and join online,"$195, $275, $375 or $495 a year (larger corporate tiers $2.5K-$50K)",info@theSVCC.org
sanjoseemergencyplumberpros.com,"San Jose, CA",City of San Jose - homebuyers and homeowners,https://www.sanjoseca.gov/your-government/departments-offices/housing/homebuyers-homeowners,City or county government or library resource page,Contact the housing department and suggest a homeowner help resource for the page,Free,https://www.sanjoseca.gov/your-government/departments-offices/housing/homebuyers-homeowners
sanjoseemergencyplumberpros.com,"San Jose, CA",Santa Clara County District Attorney - consumer FAQs,https://da.santaclaracounty.gov/consumer-protection/consumer-faqs,City or county government or library resource page,Call the consumer protection unit and offer a plain-English homeowner guide to link,Free,https://da.santaclaracounty.gov/consumer-protection/consumer-faqs (408-792-2880)
sanjoseemergencyplumberpros.com,"San Jose, CA",Builders' Exchange of Santa Clara County - join,https://bxscco.com/join/,"Bar association, legal aid or local trade association",Download and send the membership application,"$165 a quarter or $600 a year, plus a $100 application fee",https://bxscco.com/join/
sanjoseemergencyplumberpros.com,"San Jose, CA",Builders' Exchange of Santa Clara County - membership directory,https://bxscco.com/membership-directory/,"Bar association, legal aid or local trade association","Once you join, your firm appears in this public member directory",Covered by membership above,https://bxscco.com/membership-directory/
sacramentoacrepair.com,"Sacramento, CA",Sacramento Press - write for us,https://www.sacramentopress.com/writeforus/,Local news site / neighborhood blog,Apply as a community contributor (must live in the Sacramento area); no guest posts or sponsored content,Free (no fee stated),writeforus@sacramentopress.com
sacramentoacrepair.com,"Sacramento, CA",Inside Sacramento - editorial submission guidelines,https://insidesacramento.com/wp-content/uploads/2026/05/Editorial-Submission-Guidelines2026.pdf,Local news site / neighborhood blog,Email a plain-text 'Editorial Query' pitch as a Sacramento-based writer,They pay you: $100-$200 per story,editor@insidepublications.com
sacramentoacrepair.com,"Sacramento, CA",Midtown Neighborhood Association - links page,https://www.midtownsac.org/links.html,"Neighborhood, HOA or community group site",Use the association contact form and ask to be added to their external links,Free (no fee stated),https://www.midtownsac.org/contact.html
sacramentoacrepair.com,"Sacramento, CA",Sierra Oaks Neighborhood Association,https://www.sierraoaksneighborhood.org/home/,"Neighborhood, HOA or community group site",Contact the board about sponsoring the newsletter or writing a seasonal AC tip,"Dues mentioned, amount not published",https://www.sierraoaksneighborhood.org/home/
sacramentoacrepair.com,"Sacramento, CA",Sacramento Metro Chamber - membership,https://www.metrochamber.org/membership/,Chamber of commerce directory / join page,Join the chamber for a member listing and event visibility,Not published on the page,https://www.metrochamber.org/membership/
sacramentoacrepair.com,"Sacramento, CA",East Sacramento Chamber - new member application,https://business.eastsacchamber.org/join,Chamber of commerce directory / join page,Apply online; Sole Proprietor and up include a website listing,"$159 sole proprietor, $319 small business, $649 corporate, $99 community (per year)",https://business.eastsacchamber.org/join
sacramentoacrepair.com,"Sacramento, CA",SHRA - homeowner resources (Sacramento),https://www.shra.org/homeowner-resources/,City or county government or library resource page,Email SHRA and offer a homeowner repair resource for the page,Free,loanservicing@shra.org
sacramentoacrepair.com,"Sacramento, CA",City of Sacramento - neighborhood association directory,https://www.cityofsacramento.gov/city-manager/oied/community-engagement/neighborhoods/neighborhood-associations/neighborhood-directory,City or county government or library resource page,"Use the city directory to find associations, then pitch each one directly",Free,https://www.cityofsacramento.gov/city-manager/oied/community-engagement/neighborhoods/neighborhood-associations/neighborhood-directory
sacramentoacrepair.com,"Sacramento, CA",SMUD - residential contractor network,https://www.smud.org/Rebates-and-Savings-Tips/Rebates-for-My-Home/Contractors,"Bar association, legal aid or local trade association",Apply to join SMUD's contractor network to appear in their local directory,Not published on the page,https://www.smud.org/Rebates-and-Savings-Tips/Rebates-for-My-Home/Contractors
sacramentoacrepair.com,"Sacramento, CA",Sacramento Regional Builders Exchange - membership,https://www.srbx.org/membership.html,"Bar association, legal aid or local trade association",Join online or contact staff to be listed as a member firm,"$1,250 general or $950 professional, plus a $100 one-time setup fee",https://www.srbx.org/membership.html
modestoacrepairpros.com,"Modesto, CA",The Modesto Focus - submit a story idea or tip,https://themodestofocus.org/submit-news-tip/,Local news site / neighborhood blog,Email a local story idea or fill in their tip form,Free (no fee stated),contactus@cvlocaljournalism.org
modestoacrepairpros.com,"Modesto, CA",ModestoView - about and contribute,https://www.modestoview.com/about/,Local news site / neighborhood blog,Contact the magazine; they welcome new local contributors,Free (no fee stated),https://www.modestoview.com/about/
modestoacrepairpros.com,"Modesto, CA","Modesto Neighborhoods, Inc. - community group directory",https://www.modestoneighborhoods.com/directory/,"Neighborhood, HOA or community group site",Use the Contact link to offer a resident workshop or resource for their groups,Free (no fee stated),https://www.modestoneighborhoods.com/directory/
modestoacrepairpros.com,"Modesto, CA","College Area Neighborhood Alliance (CANA), Modesto",https://www.canamodesto.org/,"Neighborhood, HOA or community group site",Contact the alliance about sponsoring or contributing a seasonal home-care tip,Free (no fee stated),https://www.canamodesto.org/
modestoacrepairpros.com,"Modesto, CA",Modesto Chamber of Commerce - membership levels,https://www.modchamber.org/join-now/membership-levels/,Chamber of commerce directory / join page,Email the membership coordinator to pick a level and get listed,Not published on the page,mmercado@modchamber.org
modestoacrepairpros.com,"Modesto, CA",Stanislaus Latino Chamber of Commerce,https://stanislauslatinocc.com/,Chamber of commerce directory / join page,Join as a member business to be listed in the chamber directory,Not published,https://stanislauslatinocc.com/
modestoacrepairpros.com,"Modesto, CA",City of Modesto - homeowner repair assistance,https://www.modestogov.com/696/Home-Repair-Assistance,City or county government or library resource page,Ask the program staff about being an approved contractor or listed resource,Free,https://www.modestogov.com/696/Home-Repair-Assistance
modestoacrepairpros.com,"Modesto, CA",Stanislaus County Library,https://www.stanislauslibrary.org/,City or county government or library resource page,Offer a free branch workshop on summer home cooling; events get a library page,Free,https://www.stanislauslibrary.org/
modestoacrepairpros.com,"Modesto, CA",BIA of the Greater Valley (Stanislaus County chapter) - FAQ and benefits,https://biagv.org/about/frequently-asked-questions/,"Bar association, legal aid or local trade association",Join the local building industry association (includes state and national membership),Dues not published; described as 'less than lunch' monthly,https://biagv.org/about/contact/
modestoacrepairpros.com,"Modesto, CA",Modesto Irrigation District - rebates,https://www.mid.org/saving-energy-money/rebates/,"Bar association, legal aid or local trade association",Ask MID about being listed as a participating contractor for HVAC rebates,Free (no fee stated),https://www.mid.org/saving-energy-money/rebates/
mckinneygaragedoorrepairpros.com,"McKinney, TX",McKinney Weekly - submit news,https://mckinneyweekly.news/submit,Local news site / neighborhood blog,"Email a story idea, photo or business update to the publisher",Free (no fee stated),info@jaketeam.com
mckinneygaragedoorrepairpros.com,"McKinney, TX",Community Impact McKinney,https://communityimpact.com/mckinney/,Local news site / neighborhood blog,Contact the McKinney editor with a local business or seasonal home story,Free (no fee stated),https://communityimpact.com/mckinney/
mckinneygaragedoorrepairpros.com,"McKinney, TX",Stonebridge Ranch Community Association - helpful links,https://stonebridgeranch.com/helpful-links/,"Neighborhood, HOA or community group site",Email the association's digital content director and ask to be added to helpful links,Free (no fee stated),STONEB@ciramail.com
mckinneygaragedoorrepairpros.com,"McKinney, TX",City of McKinney - Neighborhood Hub,https://www.mckinneytexas.org/725/Neighborhood-Hub,"Neighborhood, HOA or community group site",Email the neighborhood engagement administrator to reach HOA leaders and offer a resource,Free,https://www.mckinneytexas.org/725/Neighborhood-Hub (972-547-1063)
mckinneygaragedoorrepairpros.com,"McKinney, TX",McKinney Chamber of Commerce - membership options,https://www.mckinneychamber.com/membership/,Chamber of commerce directory / join page,Join as a member for online and printed directory listings,"Tiers listed on the application: $425, $800, $1,500, $3,000, $7,000, $13,000",https://www.mckinneychamber.com/membership/
mckinneygaragedoorrepairpros.com,"McKinney, TX",McKinney Chamber - member application,https://business.mckinneychamber.com/member-application,Chamber of commerce directory / join page,Apply online at your chosen tier,"$425 up to $13,000 a year",https://business.mckinneychamber.com/member-application (972-542-0163)
mckinneygaragedoorrepairpros.com,"McKinney, TX",City of McKinney - resident resources,https://www.mckinneytexas.org/3580/Resources,City or county government or library resource page,Ask city staff to add a homeowner help resource to the page,Free,https://www.mckinneytexas.org/3580/Resources
mckinneygaragedoorrepairpros.com,"McKinney, TX",City of McKinney - contractor registration,https://www.mckinneytexas.org/257/Contractor-Registration,City or county government or library resource page,Register your trade with the city; the page states there is no fee or form,Free - 'There is no fee or form to fill out',https://www.mckinneytexas.org/257/Contractor-Registration
mckinneygaragedoorrepairpros.com,"McKinney, TX",Dallas Builders Association - membership application,https://www.dallasbuilders.org/membership-application/,"Bar association, legal aid or local trade association",Apply online for a new company membership (Collin County builders included),Not published on the page,https://www.dallasbuilders.org/membership-application/
mckinneygaragedoorrepairpros.com,"McKinney, TX",Dallas Builders Association - member directory,https://web.dallasbuilders.com/BUILDERS-RESIDENTIAL?xsort=true,"Bar association, legal aid or local trade association",Once you are a member your company shows in this searchable directory,Covered by membership above,https://web.dallasbuilders.com/BUILDERS-RESIDENTIAL?xsort=true
tucsonemergencyplumberpros.com,"Tucson, AZ",Tucson Local Media - submit a press release,https://www.tucsonlocalmedia.com/site/forms/online_services/submit_a_press_release/,Local news site / neighborhood blog,Email the editor a local press release or short community piece,Free (no fee stated),tucsoneditor@tucsonlocalmedia.com
tucsonemergencyplumberpros.com,"Tucson, AZ",Arizona Daily Star (tucson.com) - news tips,https://tucson.com/news/local/heres-another-way-to-pass-news-tips-story-ideas-to-the-stars-newsroom/article_8cdebe52-8cb9-5f8f-b409-50730ce9fb4e.html,Local news site / neighborhood blog,Submit a story idea at tucson.com/news-tip with your name and phone,Free (no fee stated),https://tucson.com/news-tip
tucsonemergencyplumberpros.com,"Tucson, AZ",Hidden Valley HOA of Tucson - recommended businesses,https://hiddenvalleytucson.com/hvt/info/recommended-businesses/,"Neighborhood, HOA or community group site",Get a resident to suggest you via the form; the HOA then verifies and lists you,Free (no fee stated),https://hiddenvalleytucson.com/hvt/info/recommended-businesses/
tucsonemergencyplumberpros.com,"Tucson, AZ",Rancho Hermosa Estates (RHENA) - recommended service providers,https://www.rhenatucson.org/community-resource-directory/recommended-service-providers,"Neighborhood, HOA or community group site","Email the webmaster with your name, contact details and a resident recommendation",Free (no fee stated),https://www.rhenatucson.org/community-resource-directory/recommended-service-providers
tucsonemergencyplumberpros.com,"Tucson, AZ",Tucson Metro Chamber - new member form,https://tucsonchamber.org/new-member-form/,Chamber of commerce directory / join page,Complete the new member form to join and be listed,Not published on this page (tier sheet published separately),https://tucsonchamber.org/new-member-form/
tucsonemergencyplumberpros.com,"Tucson, AZ",Pima County - list of county chambers of commerce,https://www.pima.gov/2878/Pima-County-based-Chambers-of-Commerce,Chamber of commerce directory / join page,Use the county list to join the chamber nearest your service area,Free to view; chamber dues vary,https://www.pima.gov/2878/Pima-County-based-Chambers-of-Commerce
tucsonemergencyplumberpros.com,"Tucson, AZ",City of Tucson - resident resources,https://www.tucsonaz.gov/Residents/Resident-Resources,City or county government or library resource page,Ask the city web team to add a homeowner help resource,Free,https://www.tucsonaz.gov/Residents/Resident-Resources
tucsonemergencyplumberpros.com,"Tucson, AZ",City of Tucson - neighborhood resources team,https://www.tucsonaz.gov/Departments/Planning-Development-Services/Neighborhood-Resources,City or county government or library resource page,Email the neighborhood resources team to reach registered associations,Free,Neighborhood@tucsonaz.gov
tucsonemergencyplumberpros.com,"Tucson, AZ",Southern Arizona Home Builders Association - membership,https://sahba.org/membership/,"Bar association, legal aid or local trade association",Join as an Associate member; you get a free listing in the SAHBA Buyer's Guide,"$595 a year Associate or Remodeler; $1,000 Builder; $5,000 Developer",https://sahba.org/membership/ (520-795-5114)
tucsonemergencyplumberpros.com,"Tucson, AZ",SAHBA - member application,https://members.sahba.org/member-application,"Bar association, legal aid or local trade association","Apply online, choosing the Associate or Remodeler category",See dues above; $200 per single-family permit assessment for builders,https://members.sahba.org/member-application
sacramentodogbitelawyerpros.com,"Sacramento, CA",Sacramento Press - write for us,https://www.sacramentopress.com/writeforus/,Local news site / neighborhood blog,Apply as a Sacramento-area community contributor or pitch a column,Free (no fee stated),writeforus@sacramentopress.com
sacramentodogbitelawyerpros.com,"Sacramento, CA",Inside Sacramento - editorial submission guidelines,https://insidesacramento.com/wp-content/uploads/2026/05/Editorial-Submission-Guidelines2026.pdf,Local news site / neighborhood blog,Email a plain-text 'Editorial Query' pitch as a Sacramento-based writer,They pay you: $100-$200 per story,editor@insidepublications.com
sacramentodogbitelawyerpros.com,"Sacramento, CA",Midtown Neighborhood Association - links page,https://www.midtownsac.org/links.html,"Neighborhood, HOA or community group site",Use the contact form and ask to be added to their external links list,Free (no fee stated),https://www.midtownsac.org/contact.html
sacramentodogbitelawyerpros.com,"Sacramento, CA",Sierra Oaks Neighborhood Association,https://www.sierraoaksneighborhood.org/home/,"Neighborhood, HOA or community group site",Contact the board about a dog-safety piece for residents or newsletter sponsorship,"Dues mentioned, amount not published",https://www.sierraoaksneighborhood.org/home/
sacramentodogbitelawyerpros.com,"Sacramento, CA",Sacramento Metro Chamber - membership,https://www.metrochamber.org/membership/,Chamber of commerce directory / join page,Join the chamber for a member listing,Not published on the page,https://www.metrochamber.org/membership/
sacramentodogbitelawyerpros.com,"Sacramento, CA",East Sacramento Chamber - new member application,https://business.eastsacchamber.org/join,Chamber of commerce directory / join page,Apply online; Sole Proprietor and up include a website listing,"$159 sole proprietor, $319 small business, $649 corporate, $99 community (per year)",https://business.eastsacchamber.org/join
